item_id,path,has_obj,has_mtl,has_pcd,has_keypoints,has_border,textures,all_files,category,source_format,converted_to,metadata_notes,analysis_success,status
DLG_Dress032_1,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress032_1.glb,True,True,True,True,True,"['Dress032_diffuse_1001.png', 'Dress032_displacement_1001.png', 'Dress032_metallicroughness_1001.png', 'Dress032_metalness_1001.png', 'Dress032_normal_1001.png', 'Dress032_opacity_1001.png', 'Dress032_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress032_1.bin', 'DLG_Dress032_1.gltf', 'DLG_Dress032_1.obj', 'DLG_Dress032_1.pcd', 'Dress032.mtl', 'Dress032_diffuse_1001.png', 'Dress032_displacement_1001.png', 'Dress032_metallicroughness_1001.png', 'Dress032_metalness_1001.png', 'Dress032_normal_1001.png', 'Dress032_opacity_1001.png', 'Dress032_roughness_1001.png', 'kp_DLG_Dress032_1.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress033,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress033.glb,True,True,True,True,True,"['Dress033_diffuse_1001.png', 'Dress033_displacement_1001.png', 'Dress033_metallicroughness_1001.png', 'Dress033_metalness_1001.png', 'Dress033_normal_1001.png', 'Dress033_opacity_1001.png', 'Dress033_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress033.obj', 'DLG_Dress033.pcd', 'Dress033.mtl', 'Dress033_diffuse_1001.png', 'Dress033_displacement_1001.png', 'Dress033_metallicroughness_1001.png', 'Dress033_metalness_1001.png', 'Dress033_normal_1001.png', 'Dress033_opacity_1001.png', 'Dress033_roughness_1001.png', 'kp_DLG_Dress033.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress034,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress034.glb,True,True,True,True,True,"['Dress034_diffuse_1001.png', 'Dress034_displacement_1001.png', 'Dress034_metallicroughness_1001.png', 'Dress034_metalness_1001.png', 'Dress034_normal_1001.png', 'Dress034_opacity_1001.png', 'Dress034_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress034.obj', 'DLG_Dress034.pcd', 'Dress034.mtl', 'Dress034_diffuse_1001.png', 'Dress034_displacement_1001.png', 'Dress034_metallicroughness_1001.png', 'Dress034_metalness_1001.png', 'Dress034_normal_1001.png', 'Dress034_opacity_1001.png', 'Dress034_roughness_1001.png', 'kp_DLG_Dress034.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress035_0,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress035_0.glb,True,True,True,True,True,"['Dress035_diffuse_1001.png', 'Dress035_displacement_1001.png', 'Dress035_metallicroughness_1001.png', 'Dress035_metalness_1001.png', 'Dress035_normal_1001.png', 'Dress035_opacity_1001.png', 'Dress035_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress035_0.obj', 'DLG_Dress035_0.pcd', 'Dress035.mtl', 'Dress035_diffuse_1001.png', 'Dress035_displacement_1001.png', 'Dress035_metallicroughness_1001.png', 'Dress035_metalness_1001.png', 'Dress035_normal_1001.png', 'Dress035_opacity_1001.png', 'Dress035_roughness_1001.png', 'kp_DLG_Dress035_0.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress053,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress053.glb,True,True,True,True,True,"['Dress053_diffuse_1001.png', 'Dress053_displacement_1001.png', 'Dress053_metallicroughness_1001.png', 'Dress053_metalness_1001.png', 'Dress053_normal_1001.png', 'Dress053_opacity_1001.png', 'Dress053_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress053.obj', 'DLG_Dress053.pcd', 'Dress053.mtl', 'Dress053_diffuse_1001.png', 'Dress053_displacement_1001.png', 'Dress053_metallicroughness_1001.png', 'Dress053_metalness_1001.png', 'Dress053_normal_1001.png', 'Dress053_opacity_1001.png', 'Dress053_roughness_1001.png', 'kp_DLG_Dress053.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress054_0,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress054_0.glb,True,True,True,True,True,"['Dress054_diffuse_1001.png', 'Dress054_displacement_1001.png', 'Dress054_metallicroughness_1001.png', 'Dress054_metalness_1001.png', 'Dress054_normal_1001.png', 'Dress054_opacity_1001.png', 'Dress054_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress054_0.obj', 'DLG_Dress054_0.pcd', 'Dress054.mtl', 'Dress054_diffuse_1001.png', 'Dress054_displacement_1001.png', 'Dress054_metallicroughness_1001.png', 'Dress054_metalness_1001.png', 'Dress054_normal_1001.png', 'Dress054_opacity_1001.png', 'Dress054_roughness_1001.png', 'kp_DLG_Dress054_0.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress055_0,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress055_0.glb,True,True,True,True,True,"['Dress055_diffuse_1001.png', 'Dress055_displacement_1001.png', 'Dress055_metallicroughness_1001.png', 'Dress055_metalness_1001.png', 'Dress055_normal_1001.png', 'Dress055_opacity_1001.png', 'Dress055_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress055_0.obj', 'DLG_Dress055_0.pcd', 'Dress055.mtl', 'Dress055_diffuse_1001.png', 'Dress055_displacement_1001.png', 'Dress055_metallicroughness_1001.png', 'Dress055_metalness_1001.png', 'Dress055_normal_1001.png', 'Dress055_opacity_1001.png', 'Dress055_roughness_1001.png', 'kp_DLG_Dress055_0.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress079,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress079.glb,True,True,True,True,True,"['Dress079_diffuse_1001.png', 'Dress079_displacement_1001.png', 'Dress079_metallicroughness_1001.png', 'Dress079_metalness_1001.png', 'Dress079_normal_1001.png', 'Dress079_opacity_1001.png', 'Dress079_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress079.obj', 'DLG_Dress079.pcd', 'Dress079.mtl', 'Dress079_diffuse_1001.png', 'Dress079_displacement_1001.png', 'Dress079_metallicroughness_1001.png', 'Dress079_metalness_1001.png', 'Dress079_normal_1001.png', 'Dress079_opacity_1001.png', 'Dress079_roughness_1001.png', 'kp_DLG_Dress079.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_dress088,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_dress088.glb,True,True,True,True,True,"['dress088_diffuse_1001.png', 'dress088_displacement_1001.png', 'dress088_metallicroughness_1001.png', 'dress088_metalness_1001.png', 'dress088_normal_1001.png', 'dress088_opacity_1001.png', 'dress088_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_dress088.obj', 'DLG_dress088.pcd', 'dress088.mtl', 'dress088_diffuse_1001.png', 'dress088_displacement_1001.png', 'dress088_metallicroughness_1001.png', 'dress088_metalness_1001.png', 'dress088_normal_1001.png', 'dress088_opacity_1001.png', 'dress088_roughness_1001.png', 'kp_DLG_dress088.pcd']",Long_Gallus,obj,glb,,False,OK
DLG_Dress092,C:\Users\97250\Desktop\Studies\Third year\Final Project\converted_glb\DLG_Dress092.glb,True,True,True,True,True,"['Dress092_diffuse_1001.png', 'Dress092_displacement_1001.png', 'Dress092_metallicroughness_1001.png', 'Dress092_metalness_1001.png', 'Dress092_normal_1001.png', 'Dress092_opacity_1001.png', 'Dress092_roughness_1001.png']","['border.obj', 'border.obj.mtl', 'DLG_Dress092.obj', 'DLG_Dress092.pcd', 'Dress092.mtl', 'Dress092_diffuse_1001.png', 'Dress092_displacement_1001.png', 'Dress092_metallicroughness_1001.png', 'Dress092_metalness_1001.png', 'Dress092_normal_1001.png', 'Dress092_opacity_1001.png', 'Dress092_roughness_1001.png', 'kp_DLG_Dress092.pcd']",Long_Gallus,obj,glb,,False,OK
